Name,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admitted
Ethen Koch,337,118,4,4.5,4.5,9.65,1,1
Diana Strong,324,107,4,4,4.5,8.87,1,0
Chasity Esparza,316,104,3,3,3.5,8,1,0
Armando Wallace,322,110,3,3.5,2.5,8.67,1,0
Charles Blackwell,314,103,2,2,3,8.21,0,0
Hamza Kim,330,115,5,4.5,3,9.34,1,0
Marianna Lutz,321,109,3,3,4,8.2,1,0
Beatrice Morrison,308,101,2,3,4,7.9,0,0
Adeline Sullivan,302,102,1,2,1.5,8,0,0
Elliott Shelton,323,108,3,3.5,3,8.6,0,0
Brandon Ellis,325,106,3,3.5,4,8.4,1,0
Jaylee Olsen,327,111,4,4,4.5,9,1,0
Coleman Hughes,328,112,4,4,4.5,9.1,1,0
Owen Cantrell,307,109,3,4,3,8,1,0
Nigel Edwards,311,104,3,3.5,2,8.2,1,0
Nayeli Madden,314,105,3,3.5,2.5,8.3,0,0
Reed Jefferson,317,107,3,4,3,8.7,0,0
Jarrett Murillo,319,106,3,4,3,8,1,0
Alfonso Fischer,318,110,3,4,3,8.8,0,0
Cameron Cobb,303,102,3,3.5,3,8.5,0,0
Dayami Davidson,312,107,3,3,2,7.9,1,0
Braeden Mcconnell,325,114,4,3,2,8.4,0,0
Vivian Herrera,328,116,5,5,5,9.5,1,1
Harold Osborn,334,119,5,5,4.5,9.7,1,1
Byron Harris,336,119,5,4,3.5,9.8,1,1
Valeria Koch,340,120,5,4.5,4.5,9.6,1,1
Lewis Craig,322,109,5,4.5,3.5,8.8,0,0
Arianna Harrell,298,98,2,1.5,2.5,7.5,1,0
Jaida Gamble,295,93,1,2,2,7.2,0,0
Danna Torres,310,99,2,1.5,2,7.3,0,0
Marco Sloan,300,97,2,3,3,8.1,1,0
Frances Morris,327,103,3,4,4,8.3,1,0
Lacey Morrow,338,118,4,3,4.5,9.4,1,1
Darius Michael,340,114,5,4,4,9.6,1,0
Alexandra Oneal,331,112,5,4,5,9.8,1,1
Amiah Vazquez,320,110,5,5,5,9.2,1,0
Leanna Koch,299,106,2,4,4,8.4,0,0
Ryder Moses,300,105,1,1,2,7.8,0,0
Yadira Kirby,304,105,1,3,1.5,7.5,0,0
Ronald Holt,307,108,2,4,3.5,7.7,0,0
Agustin Robertson,308,110,3,3.5,3,8,1,0
Kamren Whitehead,316,105,2,2.5,2.5,8.2,1,0
Lauren Chang,313,107,2,2.5,2,8.5,1,0
Rory Campbell,332,117,4,4.5,4,9.1,0,0
Samuel Bender,326,113,5,4.5,4,9.4,1,1
Amelia Singh,322,110,5,5,4,9.1,1,0
Chaz Black,329,114,5,4,5,9.3,1,0
Londyn Fischer,339,119,5,4.5,4,9.7,0,0
Allan Barron,321,110,3,3.5,5,8.85,1,0
Rhett Mejia,327,111,4,3,4,8.4,1,0
Jerry Guerra,313,98,3,2.5,4.5,8.3,1,0
Mohamed Valencia,312,100,2,1.5,3.5,7.9,1,0
Nyla Mayer,334,116,4,4,3,8,1,0
Darren Bruce,324,112,4,4,2.5,8.1,1,0
Laila Rowe,322,110,3,3,3.5,8,0,0
Gunner Pratt,320,103,3,3,3,7.7,0,0
Jeffrey Hampton,316,102,3,2,3,7.4,0,0
Isai Gordon,298,99,2,4,2,7.6,0,0
Saniyah Haley,300,99,1,3,2,6.8,1,0
Octavio Gonzales,311,104,2,2,2,8.3,0,0
Samuel Wilcox,309,100,2,3,3,8.1,0,0
Yaretzi Choi,307,101,3,4,3,8.2,0,0
Sebastian Molina,304,105,2,3,3,8.2,1,0
Dulce Koch,315,107,2,4,3,8.5,1,0
Julio Sellers,325,111,3,3,3.5,8.7,0,0
Diana Wallace,325,112,4,3.5,3.5,8.92,0,0
Marin Greene,327,114,3,3,3,9.02,0,0
Tristian Mcknight,316,107,2,3.5,3.5,8.64,1,0
Nina Tyler,318,109,3,3.5,4,9.22,1,0
Conner Solis,328,115,4,4.5,4,9.16,1,0
Micaela Watts,332,118,5,5,5,9.64,1,1
Brynn Ayala,336,112,5,5,5,9.76,1,1
Lesly Zimmerman,321,111,5,5,5,9.45,1,1
Savannah Arias,314,108,4,4.5,4,9.04,1,0
Cora Henson,314,106,3,3,5,8.9,0,0
Rihanna Murillo,329,114,2,2,4,8.56,1,0
